linea,referencia,color,talla,producto,descripcion,tela,detalles
DAMA,46156,00 BLANCO 03 NEGRO 07 VERDE 19 ROJO 79 COBRIZO,32-34-36,BRALETTE,"Si te encanta sentirte libre y cómoda con la ropa interior que usas, este bralette es perfecto para usarlo todos los días. No tiene arcos ni varillas, es liviano, ligero y cuenta con un elástico interno en la base que permite que se mantenga en su lugar. Sus cargaderas son ajustables para que las adaptes a tu contorno y puedes usarlas de manera convencional o cruzada al cuello. Sus copas cuentan con doble capa de tela: encaje suave y delicado en el exterior y un tull que te brindara mayor cubrimiento.",ENCAJE / TULL,"Bralette silueta triangular. Desestructurado, ligero, cómodo. Encaje ligero y delicado con tull interno para mejor cubirmiento. Elastico interno en base. Cargaderas graduables para que las ajustes a tu cuerpo, se pueden usar de forma convencional o cruzadas en espalda. Sin abrochadura. Composición: 86% poliamida, 14% elastano."
DAMA,33704,00 BLANCO. 03 NEGRO,S-M-L,CACHETERO JUVENIL,"Cachetero juvenil de silueta semidescaderada, está elaborado en algodón spandex y elástico interno en cintura permitiendo que se adapte perfectamente a tu cuerpo y te brinde máxima frescura. Las costuras son ultraplanas para evitar que se marque en la ropa y maltraten la piel, te dará una apariencia invisible. Es ideal para que te sientas muy cómoda en los momentos en los cuales quieras descansar en casa, tomar un espacio para ti o para tus looks más descomplicados.",ALGODÓN SPX / ALGODÓN 100%,"Cachetero juvenil silueta semidescaderada. Elastico interno en cintura para mayor ajuste. No se marca en la ropa. Refuerzo inferior 100% en algodón para mayor comodidad. Algodón spandex. Composición: 96% algodón, 4% spandex."
DAMA,48941,00 BLANCO 03 NEGRO 84 PERLA,S-M-L-XL,BRASILERA,"Siente la ligereza de esta brasilera semidescaderada ideal para uso diario. Hecha con tul, resulta extremadamente cómoda, fresca y con un toque sensual. Con elásticos en pierna y cintura para mayor ajuste, son suaves con la piel y la tela reforzada con algodón te garantizará comodidad durante el día. ¡Ponte moderna, divertida y cómoda con esta brasilera!",TULL / ALGODÓN 100%,"Panty tipo brasilera. Semidescaderada. Elaborada en tull, material ligero y fresco. Elásticos suaves en pierna y cintura. Refuerzo 100% en algodón para mayor frescura. Composición: 94% poliamida, 6% elastano."
DAMA,48904,00 BLANCO 03 NEGRO 84 PERLA,S-M-L-XL,BOXER DAMA,"Este cachetero de tiro alto cuenta con un elastico en cintura y está elaborado en un material muy suave y ligero que se ajusta a tu cuerpo y te brinda máxima comodidad. Es ideal para ti si te gustan los panties de buen cubrimiento y que te hacen sentir que todo está en su lugar. Su refuerzo interno en algodón 100% te brinda mayor frescura, !úsalo en el día a día, o para dormir, es perfecto para cualquier momento!",ALGODÓN SPX / ALGODÓN 100%,"Panty estilo cachetero. Elástico en cintura para ajuste perfecto que se adapta a tu cuerpo. Máxima comodidad. Algodón spandex, liso, ligero y suave al tacto. Refuerzo inferior 100% en algodón para mayor confort y frescura. Composición: 96% algodón, 4% spandex."
DAMA,48912,00 BLANCO 03 NEGRO 84 PERLA,S-M-L-XL,CACHETRO,"La comodidad empieza por la ropa interior. Panty tipo cachetero de tiro medio, elaborado en tela lisa muy suave al tacto y elásticos en las piernas que te dará total comodidad, además su corte anatómico se ajusta a tu cuerpo. Su detalle de encaje en la cintura le da un toque muy romántico y femenino.",ALGODÓN SPX / ALGODÓN 100% / ENCAJE,"Panty tipo cachetero tiro medio. Corte anatómico y elásticos en piernas para mejor ajuste. Elaborado en una tela fresca, suave y lisa. No se marca en la ropa ni en la piel. Detalle de encaje en cintura. Composición: 96% algodón, 4% spandex - 91% poliamida, 9% elastano."
DAMA,48921,00 BLANCO 03 NEGRO 84 PERLA,S-M-L-XL,BRASILERA,"Panty estilo brasilera de tiro medio con encaje decorativo en cintura y pierna para un toque femenino, te encantara su comodidad y excelente modelación. Está elaborada en una microfibra que se ajusta perfectamente a tu cuerpo y te brinda máxima frescura. Su refuerzo inferior 100% en algodón te mantendrán fresca y a gusto todo el tiempo.",CORALINA / ENCAJE / ALGODÓN 100%,"Brasilera de tiro medio. Elaborada en microfibra suave para máxima comodidad y excelente modelación. Encaje decorativo en cintura y piernas para un toque más femenino. Refuerzo inferior 100% en algodón para mayor comodidad. Composición: 77% poliéster, 23% elastano - 91% poliamida, 9% elastano."
DAMA,48911,00 BLANCO 03 NEGRO 84 PERLA,S-M-L-XL,BRASILERA,"Panty estilo brasilera de tiro medio con encaje decorativo en cintura. Está elaborada en algodón elástico que se ajusta perfectamente a tu cuerpo y te brinda máxima frescura. Elásticos planos en piernas para evitar que se marque en la ropa y maltrate la piel, te dará una apariencia invisible, perfecta para usar con prendas ajustadas. Refuerzo inferior 100% en algodón para mayor comodidad.",ALGODÓN SPX / ALGODÓN 100% / ENCAJE,"Brasilera de tiro medio. Elaborada en algodón elástico suave para máxima comodidad y excelente modelación. Encaje decorativo en cintura para un toque más femenino. Refuerzo inferior 100% en algodón para mayor comodidad.. Composición: 96% algodón, 4% spandex - 86% poliamida, 14% elastano."
DAMA,48850,00 BLANCO 03 NEGRO 84 PERLA,32-34-36,BRASIER REALCE MEDIO,"Este brasier strapless está diseñado para que resalte tu escote a la perfección. Cuenta con copas suaves con arcos internos para una modelación redondeada y esta reforzado en el centro para mayor soporte, y una base ancha con un elástico en base expuesto para una silueta estilizada.",CORALINA / TASKIN / POWERNET ESP,"Brasier strapless. Copas suaves y arco. Refuerzo interno en centro. Cargaderas para uso convencional, cruzado, halter, o sin ellas como strapless. Abrochadura de 2 ganchos y 3 niveles de ajuste. Composición: 77% poliéster, 23% elastano - 79% poliamida, 21% elastano."
DAMA,48860,00 BLANCO 03 NEGRO 84 PERLA,32-34-36-38,BRASIER REALCE NATURAL,"Descubre la armonía perfecta entre sensualidad y comodidad con nuestro Brasier de copa triangular. Es ligero y ultracómodo: no cuenta con arcos, ni relleno en copas, ni varillas laterales. Sus copas suaves y ligeras hacen que tu busto luzca natural y con una modelación más redondeada. El elástico en la base ayuda a soportar tu busto cómodamente y además, al estar recubierto en encaje, logras un look muy sexy. Sus cargaderas son fijas y graduables.",CORALINA / ENCAJE,"Brasier de escote profundo. Encaje en la base, laterales y espalda. Ideal para mujeres de busto pequeño y mediano. Copas suaves y ligeras. Cómodo y liviano. Sin arcos ni varillas. Cargaderas graduables y fijas. Abrochadura de 3 ganchos y 4 niveles de ajuste. Composición: 77% poliéster, 23% elastano - 805 poliamida, 20% elastano."
DAMA,48960,00 BLANCO 03 NEGRO 84 PERLA,32-34-36-38,BRASIER REALCE NATURAL,"Este brasier tipo top es la combinación perfecta entre soporte, confort y cubrimiento. Su tacto es muy suave y su estructura muy liviana: lo amarás cuando te lo pongas. Cuenta con  copas fijas suaves que le dan una modelación redondeada a tu busto. El escote, los laterales de la sisa y la espalda son de cubrimiento alto. Además, en la parte interna de la espalda, la base del busto y la sisa está elaborado con un material de compresión (Powernet) y el frente esta adornado por una blonda suave y delicada. Es un brasier de uso diario ¡elígelo para todo! Para salir, estar en casa, dormir o hacer ejercicio. Sus cargaderas fijas son graduables y ultraplanas,y su abrochadura es de 4 ganchos y 4 niveles de ajuste.",CORALINA / BLONDA / POWERNET,"Brasier tipo top ideal para el uso diario. Copas suaves y sin arcos. Alto cubrimiento en espalda y sisa: luce más estilizada. Menos costuras para una apariencia más sutil. Tacto ultrasuave. Estructura liviana. Blonda en escote para un toque delicado y femenino. Powernet interno que genera compresión y ajuste. Cargaderas fijas ajustables y abrochadura de 4 broches y 4 ajustes. Composición: 77% poliéster, 23% elastano - 79% poliamida, 21% elastano."
